country,prevalence,cases,pop2022
Ukraine,6.3,2800587,39701.739
United States of America,5.9,17491047,338289.857
Australia,5.9,1318599,26177.413
Estonia,5.9,75667,1326.062
Brazil,5.8,11548577,215313.498
Greece,5.7,593136,10384.971
Portugal,5.7,578234,10270.865
Belarus,5.6,510764,9534.954
Finland,5.6,293921,5540.745
Lithuania,5.6,169685,2750.055
Russia,5.5,7815714,144713.314
Cuba,5.5,605879,11212.191
New Zealand,5.4,221338,5185.288
Moldova,5.4,207247,3272.996
Barbados,5.4,14586,281.635
Germany,5.2,2116728,83369.843
Spain,5.2,2408700,47558.63
Czech Republic,5.2,525488,10493.986
Bulgaria,5.2,360724,6781.953
Paraguay,5.2,332628,6780.744
Trinidad and Tobago,5.2,67614,1531.044
Bahamas,5.2,19138,409.984
Italy,5.1,3049986,59037.474
Poland,5.1,1878988,39857.145
Hungary,5.1,493783,9967.308
United Arab Emirates,5.1,444016,9441.129
Austria,5.1,415916,8939.617
Slovakia,5.1,268516,5643.453
Croatia,5.1,205541,4030.358
Bosnia and Herzegovina,5.1,185557,3233.526
Qatar,5.1,105684,2695.122
Slovenia,5.1,99864,2119.844
Cyprus,5.1,42662,1251.488
Djibouti,5.1,43909,1120.849
Malta,5.1,20049,533.286
Antigua and Barbuda,5.1,4424,93.763
Romania,5,931842,19659.267
Chile,5,844253,19603.733
Switzerland,5,388870,8740.472
Serbia,5,419302,7221.365
Denmark,5,267213,5882.261
Kuwait,5,181756,4268.873
Georgia,5,189241,3744.385
Uruguay,5,158005,3422.794
Armenia,5,142712,2780.469
Luxembourg,5,26350,647.599
Iran,4.9,3637308,88550.57
Tunisia,4.9,518432,12356.117
Sweden,4.9,446734,10549.347
Latvia,4.9,102702,1850.651
Cape Verde,4.9,24240,593.149
Saint Lucia,4.9,8892,179.857
Saint Vincent and the Grenadines,4.9,5144,103.948
France,4.8,2949572,64626.628
Peru,4.8,1443513,34049.588
Belgium,4.8,502075,11655.93
Ireland,4.8,212555,5023.109
Albania,4.8,131048,2842.321
Jamaica,4.8,134054,2827.377
Lesotho,4.8,98988,2305.825
Bahrain,4.8,62549,1472.233
Montenegro,4.8,28627,627.082
Suriname,4.8,24914,618.04
Ethiopia,4.7,4480113,123379.924
Colombia,4.7,2177280,51874.024
Argentina,4.7,1914354,45510.318
Canada,4.7,1566903,38454.327
Netherlands,4.7,752777,17564.014
Dominican Republic,4.7,464164,11228.821
Lebanon,4.7,255280,5489.739
Norway,4.7,227446,5434.319
Costa Rica,4.7,216608,5180.829
Oman,4.7,199961,4576.298
Botswana,4.7,102065,2630.296
Grenada,4.7,4848,125.438
South Africa,4.6,2402230,59893.885
Uganda,4.6,1747769,47249.585
Azerbaijan,4.6,428873,10358.074
Israel,4.6,342181,9038.309
Singapore,4.6,162203,5975.689
India,4.5,56675969,1417173.173
United Kingdom,4.5,2692081,67508.936
Algeria,4.5,1683914,44903.225
Morocco,4.5,1484441,37457.971
Saudi Arabia,4.5,1339976,36408.82
Libya,4.5,265833,6812.341
Guyana,4.5,33700,808.726
Turkey,4.4,3260677,85341.241
Thailand,4.4,2885221,71697.03
Kenya,4.4,1952981,54027.487
Madagascar,4.4,1041000,29611.714
Kazakhstan,4.4,732699,19397.998
Bolivia,4.4,453716,12224.11
South Sudan,4.4,529011,10913.164
El Salvador,4.4,255032,6336.392
Panama,4.4,162293,4408.581
Namibia,4.4,104001,2567.012
Mauritius,4.4,52570,1299.469
Comoros,4.4,33769,836.774
Belize,4.4,14956,405.272
Haiti,4.3,437639,11584.996
Eritrea,4.3,219549,3684.032
Gabon,4.3,7303,2388.992
China,4.2,54815739,1425887.337
Pakistan,4.2,7436224,235824.862
Mexico,4.2,4936614,127504.125
Japan,4.2,5058124,123951.692
Uzbekistan,4.2,1186450,34627.652
Ghana,4.2,110048,33475.87
Venezuela,4.2,1270099,28301.696
Burundi,4.2,448822,12889.576
Nicaragua,4.2,238161,6948.392
Turkmenistan,4.2,214010,6430.77
Central African Republic,4.2,202081,5579.144
Mongolia,4.2,117436,3398.366
Equatorial Guinea,4.2,34909,1674.908
Eswatini,4.2,53223,1201.67
Bhutan,4.2,30947,782.455
Bangladesh,4.1,6391760,171186.372
Tanzania,4.1,2138939,65497.748
South Korea,4.1,1904645,51815.81
Mozambique,4.1,1122987,32969.518
Sri Lanka,4.1,802321,21832.143
Malawi,4.1,679385,20405.317
Kyrgyzstan,4.1,229637,6630.623
Mauritania,4.1,160624,4736.139
Iceland,4.1,12533,372.899
Vietnam,4,3564934,98186.856
Zambia,4,636819,20017.675
Somalia,4,420387,17597.511
Zimbabwe,4,603529,16320.537
Jordan,4,287844,11285.869
Honduras,4,308862,10432.86
Guinea-Bissau,4,71467,2105.566
Seychelles,4,3722,107.118
Nigeria,3.9,7079815,218541.212
Cameroon,3.9,886273,27914.536
Syria,3.9,688074,22125.249
Senegal,3.9,560991,17316.449
Guinea,3.9,474541,13859.341
Benin,3.9,411695,13352.864
Togo,3.9,277532,8848.699
Sierra Leone,3.9,243895,8605.718
Gambia,3.9,74821,2705.992
Sao Tome and Principe,3.9,7270,227.38
DR Congo,3.8,2871309,99010.212
Malaysia,3.8,1127643,33938.221
Ivory Coast,3.8,843736,28160.542
Rwanda,3.8,425516,13776.698
Tajikistan,3.8,304018,9952.787
Indonesia,3.7,9162886,275501.339
Myanmar,3.7,1917983,54179.306
Iraq,3.7,1263249,44496.122
North Korea,3.7,874632,26069.416
Guatemala,3.7,580994,17843.908
Maldives,3.7,12739,523.787
Sudan,3.6,1376305,46874.204
Angola,3.6,892128,35588.987
Yemen,3.6,915231,33696.614
Burkina Faso,3.6,640502,22673.762
Mali,3.6,605969,22593.59
Egypt,3.5,2995824,110990.103
Chad,3.5,478228,17723.315
Liberia,3.5,155406,5302.681
Fiji,3.5,30568,929.766
Niger,3.4,653348,26207.977
Cambodia,3.4,508823,16767.842
Philippines,3.3,3298652,115559.009
Afghanistan,3.3,1038610,41128.771
Nepal,3.2,890361,30547.58
Laos,3.2,209326,7529.475
Samoa,3.2,5803,222.382
Tonga,3.2,3205,106.858
Vanuatu,3.1,7917,326.74
Kiribati,3.1,3452,131.232
Micronesia,3.1,3182,114.164
Papua New Guinea,3,223094,10142.619
Timor-Leste,3,33932,1341.296
Solomon Islands,2.9,16535,724.273
